"id","Species"
76,"versicolor"
77,"versicolor"
78,"versicolor"
79,"versicolor"
80,"versicolor"
81,"versicolor"
82,"versicolor"
83,"versicolor"
84,"versicolor"
85,"versicolor"
86,"versicolor"
87,"versicolor"
88,"versicolor"
89,"versicolor"
90,"versicolor"
91,"versicolor"
92,"versicolor"
93,"versicolor"
94,"versicolor"
95,"versicolor"
96,"versicolor"
97,"versicolor"
98,"versicolor"
99,"versicolor"
100,"versicolor"
101,"virginica"
102,"virginica"
103,"virginica"
104,"virginica"
105,"virginica"
106,"virginica"
107,"virginica"
108,"virginica"
109,"virginica"
110,"virginica"
111,"virginica"
112,"virginica"
113,"virginica"
114,"virginica"
115,"virginica"
116,"virginica"
117,"virginica"
118,"virginica"
119,"virginica"
120,"virginica"
121,"virginica"
122,"virginica"
123,"virginica"
124,"virginica"
125,"virginica"
126,"virginica"
127,"virginica"
128,"virginica"
129,"virginica"
130,"virginica"
131,"virginica"
132,"virginica"
133,"virginica"
134,"virginica"
135,"virginica"
136,"virginica"
137,"virginica"
138,"virginica"
139,"virginica"
140,"virginica"
141,"virginica"
142,"virginica"
143,"virginica"
144,"virginica"
145,"virginica"
146,"virginica"
147,"virginica"
148,"virginica"
149,"virginica"
150,"virginica"
